No of Blocks,Label,Time
19,0-19,0.01
21,0-19,0.0229
19,0-19,0.0102
24,0-19,0.0132
18,more than 50,0.0091
21,0-19,0.0116
17,more than 50,0.009
23,more than 50,0.0118
20,20-49,0.0103
18,0-19,0.0089
19,0-19,0.0102
22,more than 50,0.0124
22,0-19,0.012
22,0-19,0.0102
18,20-49,0.009
18,more than 50,0.0092
22,0-19,0.0112
20,more than 50,0.0101
19,more than 50,0.0095
22,more than 50,0.0104
23,20-49,0.0112
18,more than 50,0.0096
20,20-49,0.0091
17,20-49,0.0092
20,20-49,0.0087
19,more than 50,0.0121
19,more than 50,0.0103
21,more than 50,0.011
18,more than 50,0.0082
20,0-19,0.0106
21,20-49,0.0094
18,20-49,0.0089
19,20-49,0.0094
19,more than 50,0.0103
18,0-19,0.0093
17,0-19,0.0093
18,0-19,0.0094
18,0-19,0.0093
22,0-19,0.0123
20,0-19,0.011
17,more than 50,0.0094
17,0-19,0.0087
20,20-49,0.011
24,0-19,0.0126
20,more than 50,0.0112
21,20-49,0.0114
20,more than 50,0.011
18,20-49,0.0097
17,0-19,0.009
22,0-19,0.0122
19,0-19,0.0102
25,20-49,0.0129
18,0-19,0.0089
21,more than 50,0.0105
21,20-49,0.0109
23,0-19,0.012
20,0-19,0.0088
19,0-19,0.0094
23,20-49,0.0109
20,more than 50,0.0102
20,more than 50,0.0098
23,0-19,0.0119
19,0-19,0.0093
22,0-19,0.0101
21,0-19,0.0103
19,more than 50,0.0089
18,20-49,0.009
19,20-49,0.0096
22,more than 50,0.0092
19,more than 50,0.0094
17,20-49,0.0073
20,0-19,0.01
18,more than 50,0.0204
19,0-19,0.0101
20,more than 50,0.0101
17,0-19,0.0084
17,20-49,0.0081
17,0-19,0.0081
19,20-49,0.0088
22,20-49,0.0107
21,more than 50,0.0113
19,more than 50,0.0097
20,0-19,0.0102
18,0-19,0.0094
21,0-19,0.0114
17,more than 50,0.0087
18,20-49,0.0094
17,more than 50,0.009
18,20-49,0.0091
17,0-19,0.01
20,more than 50,0.01
19,0-19,0.0103
22,0-19,0.0115
21,0-19,0.0116
21,more than 50,0.011
20,more than 50,0.0108
18,0-19,0.0097
19,20-49,0.0101
24,0-19,0.0132
18,20-49,0.009
17,0-19,0.0083
22,20-49,0.0106
21,0-19,0.0106
16,0-19,0.0085
22,20-49,0.0113
17,0-19,0.0089
25,20-49,0.0126
19,20-49,0.0094
18,20-49,0.009
21,20-49,0.0106
24,0-19,0.0118
18,20-49,0.009
22,more than 50,0.0107
20,0-19,0.0103
25,more than 50,0.012
16,20-49,0.0077
21,20-49,0.0101
21,0-19,0.0102
24,20-49,0.0112
24,more than 50,0.0112
20,0-19,0.011
26,0-19,0.0143
21,0-19,0.0112
19,more than 50,0.0172
18,0-19,0.0095
17,20-49,0.0087
19,20-49,0.0095
19,0-19,0.0097
22,20-49,0.0107
22,more than 50,0.0112
17,20-49,0.0086
19,more than 50,0.0099
19,0-19,0.01
19,0-19,0.0101
20,more than 50,0.0104
20,20-49,0.0104
23,more than 50,0.0123
18,20-49,0.0099
20,20-49,0.0106
18,20-49,0.01
18,20-49,0.0095
19,more than 50,0.0101
19,0-19,0.0104
23,0-19,0.0129
23,more than 50,0.0123
18,20-49,0.0094
21,0-19,0.0102
20,20-49,0.0104
21,more than 50,0.011
17,0-19,0.0085
19,more than 50,0.0095
19,more than 50,0.0091
21,20-49,0.0111
24,20-49,0.0118
18,more than 50,0.0083
20,0-19,0.0097
20,20-49,0.0101
21,more than 50,0.01
21,20-49,0.0104
20,20-49,0.0094
19,more than 50,0.0093
18,more than 50,0.009
24,more than 50,0.0112
19,20-49,0.0095
21,20-49,0.0105
16,more than 50,0.0085
21,more than 50,0.0104
22,more than 50,0.0107
17,0-19,0.008
18,20-49,0.0082
19,0-19,0.0085
19,0-19,0.0087
21,0-19,0.01
17,20-49,0.0083
21,0-19,0.0099
20,0-19,0.0094
18,20-49,0.0083
20,20-49,0.0088
17,0-19,0.006
20,20-49,0.0094
22,more than 50,0.0103
20,0-19,0.0094
21,20-49,0.0098
20,0-19,0.01
18,more than 50,0.0083
19,0-19,0.0094
20,0-19,0.0094
19,0-19,0.0093
19,more than 50,0.0126
22,0-19,0.0112
25,20-49,0.0119
19,more than 50,0.0079
16,0-19,0.0076
22,20-49,0.0104
18,more than 50,0.0088
21,20-49,0.0102
23,more than 50,0.0122
24,more than 50,0.0129
20,20-49,0.0104
20,more than 50,0.0102
19,more than 50,0.0098
18,20-49,0.0097
20,more than 50,0.0103
18,more than 50,0.0095
20,0-19,0.0105
25,0-19,0.0129
19,0-19,0.0095
24,0-19,0.0127
18,more than 50,0.0095
21,20-49,0.0115
22,20-49,0.0108
17,0-19,0.009
24,more than 50,0.013
16,20-49,0.0087
23,0-19,0.0121
19,0-19,0.0095
24,0-19,0.0122
18,20-49,0.0094
21,20-49,0.0106
22,20-49,0.011
17,0-19,0.009
21,more than 50,0.0113
18,0-19,0.0097
16,20-49,0.0083
19,0-19,0.0097
20,20-49,0.01
20,0-19,0.0102
18,0-19,0.009
19,more than 50,0.0099
17,20-49,0.007
24,more than 50,0.0118
22,20-49,0.0104
23,20-49,0.0113
17,more than 50,0.0077
21,0-19,0.0101
15,20-49,0.0074
18,0-19,0.0088
20,more than 50,0.0097
19,20-49,0.0091
17,0-19,0.0081
18,20-49,0.0087
19,20-49,0.0089
17,more than 50,0.0082
20,20-49,0.0095
19,0-19,0.0084
23,0-19,0.0098
22,20-49,0.0091
24,0-19,0.0113
21,more than 50,0.01
20,more than 50,0.0098
17,0-19,0.0085
18,20-49,0.0082
21,20-49,0.0104
18,more than 50,0.0081
23,0-19,0.011
20,more than 50,0.0096
20,0-19,0.0096
24,more than 50,0.0124
25,more than 50,0.0125
18,20-49,0.0079
22,20-49,0.0106
21,more than 50,0.0088
19,20-49,0.0086
20,more than 50,0.0096
20,20-49,0.0096
16,0-19,0.0074
21,0-19,0.0092
24,20-49,0.0111
22,more than 50,0.0102
20,20-49,0.0096
18,20-49,0.0092
18,more than 50,0.0081
19,0-19,0.0089
16,20-49,0.0077
19,20-49,0.0092
21,more than 50,0.0102
23,more than 50,0.0113
18,20-49,0.0074
19,more than 50,0.0093
22,0-19,0.0097
18,more than 50,0.008
19,more than 50,0.0088
23,0-19,0.0107
17,0-19,0.0074
19,more than 50,0.009
19,20-49,0.0091
15,0-19,0.0073
20,more than 50,0.0094
19,0-19,0.0093
20,more than 50,0.0085
20,20-49,0.0098
21,more than 50,0.0094
17,20-49,0.008
19,more than 50,0.0094
17,more than 50,0.0084
22,20-49,0.0106
21,0-19,0.0103
21,more than 50,0.0099
20,0-19,0.0097
21,0-19,0.0096
25,0-19,0.0121
21,0-19,0.01
21,0-19,0.01
18,more than 50,0.0083
21,more than 50,0.0103
17,0-19,0.0079
